id;name;city;country;festival
1;"Het Paard";"Den Haag";"The Netherlands";
2;Paradiso;Amsterdam;"The Netherlands";
3;IJsselhallen;Zwolle;"The Netherlands";
4;Tivoli;Utrecht;"The Netherlands";
5;"Goudse Schouwburg";Gouda;"The Netherlands";
6;013;Tilburg;"The Netherlands";
7;Ahoy;Rotterdam;"The Netherlands";
8;"Ancienne Belgique";Brussel;Belgium;
9;Carré;Amsterdam;"The Netherlands";
10;"Concorde 2";Brighton;U.K.;
11;"De Duif";Amsterdam;"The Netherlands";
12;"De Vereeniging";Nijmegen;"The Netherlands";
13;Megaland;Landgraaf;"The Netherlands";
14;"Fort Canning Park";Singapore;Singapore;
15;Gelredome;Arnhem;"The Netherlands";
16;"Glee Club";Birmingham;U.K.;
17;"Heineken Music Hall";Amsterdam;"The Netherlands";
18;König-Pilsener-Arena;Oberhausen;Germany;
19;LVC;Leiden;"The Netherlands";
20;Melkweg;Amsterdam;"The Netherlands";
21;"Mont Soleil Festival";"St. Emiel";Switzerland;
22;"Muziekgebouw Frits Philips";Eindhoven;"The Netherlands";
23;Nighttown;Rotterdam;"The Netherlands";
24;"De Boerderij";Zoetermeer;"The Netherlands";
25;"Prins van Oranjehal";"Jaarbeurs Utrecht";"The Netherlands";
26;Zuiderstrand;Scheveningen;"The Netherlands";
27;Stadsgehoorzaal;Leiden;"The Netherlands";
28;Tivoli-Vredenburg;Utrecht;"The Netherlands";
29;"Union Chapel";London;U.K.;
30;Vredenburg;Utrecht;"The Netherlands";
31;"Ziggo Dome";Amsterdam;"The Netherlands";
32;"Theater Aan Het Spui";"Den Haag";"The Netherlands";
33;"De Oosterpoort";Groningen;"The Netherlands";
34;"Gebouw T";"Bergen op Zoom";"The Netherlands";
35;Vestrock;Hulst;"The Netherlands";
36;Festivalpark;Werchter;Belgium;
37;"Café Wilhelmina";Eindhoven;"The Netherlands";
38;Goffertpark;Nijmegen;"The Netherlands";
39;Musicon;"The Hague";"The Netherlands";
40;"Stadstheater Zoetermeer";Zoetermeer;"The Netherlands";
41;Rotown;Rotterdam;"The Netherlands";
42;"De Baroeg";Rotterdam;"The Netherlands";
43;"Evenemententerrein Weert Noord";Weert;"The Netherlands";
44;"Gebr. de Nobel";Leiden;"The Netherlands";
45;Doornroosje;Nijmegen;"The Netherlands";
46;"AFAS Live";Amsterdam;"The Netherlands";
47;"Jazz Café";London;U.K.;
48;"Studio Gonz";Gouda;"The Netherlands";
49;Q-Factory;Amsterdam;"The Netherlands";
50;"De Kuip";Rotterdam;"The Netherlands";
51;"Royal Park";Baarn;"The Netherlands";
52;Groenhovenpark;Gouda;"The Netherlands";
53;Bitterzoet;Amsterdam;"The Netherlands";
54;"Dauwpop Terrein";Hellendoorn;"The Netherlands";
55;Amare;"Den Haag";"The Netherlands";
56;"De Doelen";Rotterdam;"The Netherlands";
57;Annabel;Rotterdam;"The Netherlands";
