id;date;concert_venue_id;concert_festival_id;notes
1;1997-11-28;2;;
2;1999-09-27;20;;
3;1999-10-22;6;;
4;1999-12-07;2;;
5;1999-12-21;30;;
6;2000-05-22;7;;
7;1999-05-24;13;5;
8;1999-05-24;13;5;
9;1999-05-24;13;5;
10;1999-06-21;2;;
11;2000-10-13;23;;
12;2001-03-13;6;;
13;2001-05-24;6;;
14;2001-08-16;20;;
15;2001-08-23;25;;
16;2001-10-27;17;;
17;2001-10-30;20;;
18;2001-11-10;23;;
19;2001-11-28;17;;
20;2001-12-13;23;;
21;2002-06-07;19;;
22;2002-06-14;32;;
23;2002-08-26;2;;
24;2002-11-03;7;;
25;2003-06-22;23;;
26;2003-06-26;23;;
27;2003-09-12;29;;
28;2003-09-14;16;;
29;2003-09-15;10;;
30;2003-09-17;9;;
31;2003-10-24;4;;
32;2004-01-18;7;;
33;2004-05-21;2;;
34;2004-06-11;32;;
35;2004-06-11;32;;
36;2004-07-05;2;;
37;2004-07-06;2;;
38;2004-10-07;4;;
39;2004-11-01;2;;
40;2004-11-22;2;;
41;2005-03-22;8;;
42;2005-08-27;21;;
43;2005-10-26;4;;
44;2005-11-03;20;;
45;2005-11-03;20;;
46;2005-11-22;23;;
47;2006-04-10;17;;
48;2006-05-19;23;;
49;2006-06-27;17;;
50;2006-12-20;17;;
51;2007-10-07;4;;
52;2007-11-20;6;;
53;2007-12-06;17;;
54;2008-03-18;7;;
55;2008-10-30;4;;
56;2008-11-07;17;;
57;2009-05-06;20;;
58;2009-05-12;4;;
59;2009-05-14;2;;
60;2009-07-08;17;;
61;2009-08-25;2;;
62;2009-09-22;11;;
63;2009-11-09;12;;
64;2009-11-20;32;;
65;2009-12-03;7;;
66;2010-06-17;2;;
67;2010-06-29;17;;
68;2010-10-15;27;;
69;2010-11-10;4;;
70;2011-03-14;2;;
71;2011-03-29;4;;
72;2011-04-23;4;;
73;2011-05-27;7;;
74;2011-06-08;15;;
75;2011-08-05;22;;
76;2011-08-29;17;;
77;2011-10-19;18;;
78;2011-11-08;17;;
79;2012-02-01;3;;
80;2012-04-02;4;;
81;2012-05-06;9;;
82;2012-05-08;14;;
83;2012-06-01;4;;
84;2012-10-11;22;;
85;2012-11-19;2;;
86;2012-11-27;2;;
87;2013-02-15;20;;
88;2013-03-09;4;;
89;2013-06-25;31;;
90;2013-06-26;2;;
91;2013-08-21;31;;
92;2013-09-03;6;;
93;2013-09-11;17;;
94;2013-09-16;2;;
95;2013-10-21;2;;
96;2013-10-24;31;;
97;2013-11-23;2;;
98;2013-11-26;31;;
99;2013-12-07;31;;
100;2014-02-01;5;;
101;2014-02-18;17;;
102;2014-03-17;29;;
103;2014-05-26;2;;
104;2014-06-27;20;;
106;2014-08-02;26;;
108;2014-08-02;26;;
109;2014-10-28;28;;
110;2015-02-10;5;;
111;2015-03-09;33;;
112;2015-04-03;28;;
113;2015-04-30;2;;
114;2015-05-23;34;;
115;2015-06-06;35;6;Acoustic
116;2015-06-06;35;6;
117;2015-06-06;35;6;
118;2015-06-06;35;6;
119;2015-06-16;28;;
120;2015-06-22;28;;
121;2015-06-27;36;7;
122;2015-06-27;36;7;
123;2015-06-27;36;7;
124;2015-06-27;36;7;
125;2015-08-01;26;;
126;2015-08-01;26;;
127;2015-09-23;9;;
128;2015-11-09;2;;
129;2015-11-27;2;;
130;2016-01-15;37;;
131;2016-01-30;28;;
132;2016-02-03;6;;
133;2016-03-07;31;;
134;2016-05-20;17;;
135;2016-06-05;38;;
136;2016-06-05;38;;
137;2016-06-05;38;;
138;2016-06-08;15;;
142;2016-08-06;26;;
143;2016-08-13;6;;
144;2016-10-16;17;;
145;2016-11-21;6;;
146;2017-02-18;40;;
147;2017-02-19;28;;
148;2017-04-02;42;;
149;2017-04-11;41;;
150;2017-04-24;6;;
151;2017-05-27;31;;
152;2017-06-27;28;;
153;2017-06-28;31;;
154;2017-07-09;43;4;
155;2017-07-09;43;4;
156;2017-07-12;38;;
157;2017-08-03;44;;
158;2017-08-16;28;;
159;2017-08-30;33;;
160;2017-10-27;45;;
161;2017-10-29;2;;
162;2017-11-02;46;;
163;2017-11-04;47;;
164;2018-02-09;48;;
165;2018-02-10;48;;
166;2018-03-07;46;;
167;2018-06-18;28;;
168;2018-07-01;15;;
169;2018-08-06;28;;
170;2018-10-01;2;;
171;2018-10-14;28;;
172;2018-11-23;48;;
173;2018-11-27;28;;
174;2018-12-09;46;;
175;2019-03-23;49;;
176;2019-05-07;46;;
177;2019-05-27;6;;
178;2019-06-11;46;;
179;2019-06-18;31;;
180;2019-06-25;50;;
181;2019-07-11;51;;
182;2019-07-22;24;;
187;2019-10-23;28;;
188;2019-11-06;2;;
189;2019-11-08;1;;
190;2020-01-11;46;;
191;2022-04-02;28;;
192;2022-04-22;31;;
193;2022-05-13;46;;
194;2022-05-16;28;;
197;2022-07-03;52;2;
198;2022-07-03;52;2;
200;2022-10-01;24;;
201;2022-11-07;31;;
202;2022-11-25;31;;
203;2023-02-06;28;;
204;2023-02-15;2;;
205;2023-04-26;1;;
206;2023-06-06;46;;
207;2023-07-11;31;;
208;2023-11-05;53;;
209;2023-12-02;28;;
210;2022-06-03;28;;
211;2024-02-08;31;;
212;2024-04-12;41;;
213;2024-06-01;54;1;
214;2024-06-01;54;1;
215;2024-06-01;54;1;
216;2024-06-29;7;;
217;2024-06-01;54;1;
218;2022-07-03;52;2;
219;2024-07-15;33;;
220;2024-06-29;7;;
221;2024-08-07;6;;
222;1999-05-24;13;5;
223;2015-06-06;35;6;
224;2019-08-03;26;3;
225;2017-07-09;43;4;
226;2016-08-06;26;3;
227;2015-06-27;36;7;
228;2014-08-02;26;3;
229;2015-08-01;26;3;
230;2024-09-10;9;;
231;2024-10-08;45;;
232;2024-10-15;2;;
233;2024-10-30;2;;
234;2024-11-16;46;;
235;2024-11-24;28;;
236;2024-12-20;28;;
237;2025-02-25;55;;
238;2025-03-30;56;;
239;2025-04-16;57;;
240;2025-05-05;28;;
241;2025-05-15;20;;
242;2025-06-19;46;;
243;2025-06-29;31;;
244;2025-08-03;28;;
245;2025-10-25;28;;
246;2025-11-18;28;;
