persistent_id;spotify_api_album_custom_id;artist;name
EB2606710D4FB50606B0DB758006A342;5UiRDb15hEqJHsLs5uLx0k;"Floor Jansen";"Remagine: The Album (expanded)"
7A64E3894CA155F034E898F562E7F1CB;7upymrejQaAV04WdgTL0Ey;"Floor Jansen";"Exordium: The Album-The Sessions"
61AFDBDE7E8AA332AED9D53D37A7E737;14pxbzMtpW3TW19ZyPzzDj;"Floor Jansen";"Decipher: The Album (expanded)"
3B900FBC1181FB50B8E55ABD99DF3DBB;4RFUG7A2Wzb04ufnaUYk5M;"Anneke van Giersbergen";Air
AE25A2D6BCF1874457ED7027AD8E0612;4BvbIg1NPYeHwpTY0nj16N;"Alice In Chains";"Nothing Safe - The Best Of The Box"
060CE2D8549F04C97A97162229A9776E;6iGX2bbzKEocRY0HzdQ9zX;"Angelo Badalamenti";"Soundtrack From Twin Peaks"
0D9A74F5B8F4A69F3AE73D7C3ED3CE0F;5ppl86U4zfpfE72zidbDiK;"John Barry";"Out Of Africa"
D543D49A469045CE08AF542110487323;5HcWWCxjb8qvOsUhJNJqOy;Belly;Star
28CDA7CAD2725DD2B589A33DA398B04B;2de6LD7eOW8zrlorbS28na;"David Bowie";"Low (2017 Remaster)"
8334A0426C4967A459F4FFA8425CE853;6X7KUMT70zeYdRYxYgqirF;Boo!;Pynapple
001352C8A11325E162E221761ADA35F9;1JXjYl5WVr3wFgV3DMIHMl;"The Cranberries";"Stars: The Best Of The Cranberries 1992-2002"
68CEA9D60A614CB32E466776F4A6FDB7;4EQcPArSq6dm0k4QWzpLBF;Death;"Leprosy (Deluxe Reissue)"
E0EF12BD0BA2D1C5CFBB3DA8766F33AD;2bjTVISSsvwia7uxrrEsuQ;"Deep Purple";"Deep Purple in Rock (Anniversary Edition)"
C464051DC423851E81D96A67D487C4D7;55f8HG5qMzgexZhZdOLs3h;"Depeche Mode";"101 (Live)"
15EB4E0885A42D930E42DF9D1BB1CC30;7MOyAWJYGT3DiCSXCJbskP;"Bruce Dickinson";Alive
B71E7C8CE6B117F49BC0601EF5780D2D;2xumpnhKzt3P0hMlYeuOHe;"Dream Theater";"Score: 20th Anniversary World Tour Live with the Octavarium Orchestra [w/Interactive Booklet]"
61742EB1C7F637B633AB1F83955C28AE;5tdxfCXrgvk8vj81QWh2tt;Eels;"Useless Trinkets-B Sides, Soundtracks, Rarieties and Unreleased 1996-2006"
2E75CFA5F227088A7CAD0F52DE335256;7g47iRACm89TOlfLhulrx2;FFS;"FFS (Deluxe Edition)"
4C907B62A95E62D6204E8FD53218EFAF;1rLLyY5p6HXNl2lKzINWp5;"Florence + The Machine";"Lungs (Deluxe Version)"
1B7CD3DCF90BB6B39062C9B4177E8B6A;5QTuGhli0RWcjH1J9QIUgi;"John Fogerty";"The Long Road Home - The Ultimate John Fogerty / Creedence Collection"
AF99E0A36FE20D7113FEC83AF648E00F;2AXy4lErcjSGoIHdElTGCV;"Ely Guerra";Lotofire
6E459D2047B2E3D3DA047884AC09EFED;2MGpL0ijqiQBLPrbaFgwZU;"John Parish";"Dance Hall At Louse Point"
D28E89D9F39A6603A728742F11580A5B;5JnV7qww6wv1YzWBkZwz4l;"Anneke van Giersbergen";"In Your Room"
035167678A99D93C4BD8DFF809384C05;29CMZ0TWUvs3fkYih1PR8v;Boo!;"70's, 80's, 90's Naughties"
7C8D66F35114C7CB0666429469919D74;6X7KUMT70zeYdRYxYgqirF;Boo!;Pynapple
04B74272788C1F58353E242F48467F62;77KXKCEkE8wyREtzctbnUc;"The Cure";"The Cure"
F66E6D64AA9B1353761D1AB2C4D87BF2;1vGrQ0is3Avh0bZSI7T6L1;Electronic;"Electronic (Special Edition)"
90CE4308E6134C0F8E4A19EE6D372713;4FRPTKrNepfEMVkFY55Wlj;"The Haunted";"The Haunted"
8780E3A2BA9757214F1082AD0CFF003D;5yFPbTaknCVXkYe1pWmhr8;ICE-T;"The Iceburg / Freedom Of Speech...Just Watch What You Say"
C596208C48DE7E20BE2C19389E877ADB;58lyF4XIJENuFrTI0W2wXf;"Karen O And The Kids";"Where The Wild Things Are"
92C71DD8AFF724429EDAAF3ECCA3213D;5pMiACEneeuFtoFR9tEzOO;Lamb;"Best Kept Secrets: The Best Of Lamb 1996-2004"
1C9FD5E6294E840CD4860516C06A31D4;3zMDMHmWNh5JvoMf9WEL1S;Ultrasonicas;"Yo Fui una Adolescente Terrosatánica"
E6111B88B174AD589B93E9E96BFAF7A7;7ih0uXfcxt8UEHkrrRyOP8;Lodestar;Lodestar
FE144F3FF71922695E4C34A8F6FA18D5;1RglynfQIxMpebq4VRYUNY;"Madder Rose";"Tragic Magic"
