persistent_album_id;notes;format
C84BC439211A25E9A8C3F156410D575E;;LP
4A43A43A721D73AB90452BFD8394927A;;LP
EFA4307CCD18EDF6F83FA18B4C072015;;
998697159F745954DCD5CA27237AD1A4;;LP
D208AD0D95104D74255C14BF064AF859;;
971AA44D8A214FC4D36F487D28E142AF;;
669EB50DB5504CD5FB71D724DCC8DC0D;;
B2F5CB56B216C006AE55722FB10DE48C;;
3EE0623B8181D07CFB559384737C84D9;;LP
8C7847FC77BA91031E6309550ADD92F0;;LP
4F46F02B1DC191B770736915F496479A;;
CA0D7D6409658660435533833B94D2B2;;LP
F4723190E88B0B33BD07CC529C79FE01;;LP
0CAFC7CE7078943D1773F58D31B02F42;;LP
A54672980F3B07BC8F6D8FCF3E3782F5;;
DCE601F9722EDB1EB6D4BF94AF729114;;LP
F553A51F3CAA7AB67783212AA01A62E9;;
C33E66ECE600E830FA55350CFF3E3841;;LP
7800681B4D2B0BDBDC6B62C48AB7EAFF;;LP
AE41FA50E1697C3DD39DF746C0E12140;"Original has scratch";LP
FF5F2506AD05748F0C3E60341B5D9462;;
25F8C9EDC5C46A8E33B2CAFFD326F998;;LP
8200A6DEDCE24E83530DE4B40AA68201;;LP
5B5E98DA1926381EE33D5A034B14D427;"Gatefold!? 2001 capital versie?";LP
E266C4EA7B1307E0E15AC17AC87BB8B2;;
DF862660235D7B7F15BB77FEDC5257AF;;LP
5ACAE82AC0A93870D75F66471BAD011C;;
8A665FEBB84B98D9C22502DED9A7C51C;;
855CF5DFD98A36E29E381790C9431FD9;;
74C7C4C863B6885A43EB162F4D89F001;;
23DE442001B1102C35B1954DFC4ECDEB;;LP
6B8A64944FA638EDEE276B1A6FA5C336;;LP
A08312C8791DE5CEE8250079A8B28FF6;;LP
59B78DE58F213ADDD748D3B3FB65DAE4;;LP
B3AE91A1AC57E9BBDFA2B374010C4E11;;
8ED5DA620A56CD44B243EBE1A753EFE6;;LP
7880BF02EA5CEB6471647EA967EA6621;;LP
8524F19A5363CC50B5FFEB83FB1DD37D;;LP
BE36C8413458806001EBC45C9EC588BA;;
D784FB4F98CA10CFAD6F8FA571EC1E72;;
0417AFA03D96EAD8B105DE55A493E3B1;;
8A61C7F33BB98B3168CE52124B2F2A10;;
F0703F17EBBDD972EE4C2F34BBE280F1;;LP
DB48AB191659FE5D386E3F5C1989047A;;LP
3C9B1AD7F2623D6C2E99C3E7740D7117;;LP
293F8543592B9F43262210AFE5C594C7;;
43CBF85FD692E8BF613860720C22685B;;LP
257ACBCE6C05309F102CC9379C9DF38A;;LP
1DFD3FFD92F1AF196BAE4BA23CE35689;;
9AAA54B7398FE6EBE8456D354DD95870;"NOT 2015 version, but 2018?";LP
81465266564BF1688F7410B832A9F781;;LP
FD50398D930D24312291AE015BB31B38;;LP
F86C7E1FE56CD79A401CD37B800ADA08;;LP
9A0CCF457E735C866BDB34214C86F5D8;;
D2A46A0E2C97106584F274E76F827053;;
99A6C225248BFCBDFF6A3D7B5EBF8C51;;
6C1F987E6A2287DAC9902EEEA2EEB4A9;;
6B4E0AF7F072517ABF9EB876D6D96F3B;;
CEEBABB1A3E33E5B65F7DCE43479B9AA;;
5D7C6DF34B8282ABBC6E8A61CD2799A9;;CD
FCBD31CC06F82AB4C4479502F58712F0;;
5A7B5659E8732CC23DFA041A29F63FC2;;LP
2D266E87DB3610DAA0BF140800C92F48;;
08D5DA3CCBF3ED3DD01A3DE1D69CCF6A;;
C62E1C97EF238780446448E2C2F1E0BD;;LP
B26E582C0C3D3FEB0D17C06E58C8DC80;;LP
F3D192E415E23677271F5FCC76E7FB6E;;LP
319977A1EAFB961B7FDA2695D4ADEF70;;
E08755B41B610D09C4F34B7921786A79;;LP
3FF1FF3F36A641C25370AFED3021C648;;LP
5A2CAB5323D36A368CA6E46E90990157;;
DDA32B8DAE2360D70263BFF0BCC9E5B6;"Find the best version";LP
58DBC4C79522B22EEAACF498FB8F7789;;
0233BDE2D20DE747DB79BC814A128676;"Not even on vinyl!";LP
33D6DFC5704141450AD33E02A33C3EF6;;LP
D84D96D25617B82E6556C1CF3FDE5168;;
0156904FF1AE4AC312495BAA01FF2FAE;;
75856CB725189E5AC55F0717975F2FBF;;
2111BB599C241A113D2293E5D575A57F;;
671405197842343B971A053366190EE0;;CD
F8855DA535C5E0756FA06D0ED3D54FAF;;CD
97023176B29576E2CD89AFD93CA48408;;
1916336200A2C6A60813991EEEF46664;;
F4E030BC27C4787F63219B4E1ED5951B;;
728BF9ECF0D0E3636FBD40AF1CC7F9F3;;
8FEACD0602B57DF17822BB3A11D45054;;
BA514092510759141EDED05668CE26C3;;
AEFB4341A3783E7359F02076204D060F;;
B6FFCD00163F3C64A99762F8032F1A0D;;
B94D2AF6DD4E3417785E8E48361D9A7D;;
8AC10CD9AF94BC9BE3AA1A1A67916168;;
31A143568F192CEB04A9D3BCB95670AB;;
576A46B3ECEF5C52FCDD88C615078075;;
3695E0035AE2C13E5785CF2548071AEE;;
5EEA20E6A7F62B3FC2DD5026B85C14C8;;
13DCF7DCDA53AE0DC0E1F5E6F9A46C74;;
06F4F55A61291206DB7ECDD67E8495C9;;
317131991FB2C82F397E5EC86F92D34F;;
4743CC769FEC254307B29C9251B9441D;;
CCBA613F93CCC8CF5A1772F8084076AD;;
A2DD84D0039B9E316A05C8AB8D23A6D4;;
4D414F32AD6E4B65D344738D5C0B492E;;
19B6DD0477844227D4EF47875EF82A75;;CD
DBE7C8BBACE55175725D62B69AA95B59;;CD
09EDCA1866A824A7943295ECE69B77B7;;CD
6AB02CB84C8A79D076A1FC8F033F3625;;CD
DBB41DA6FBDFD3403871FEFF674A9F86;;CD
FAD196BA19397D749B917C9A2146F237;;CD
16003026E18A916A6AC0876DDCB6931A;;CD
D72DE3C76E03BC258460DE57F03C9C97;;CD
E5BD08AF5CC98AE76C4FFA3E2B69CCCB;;CD
991131EC2398BBAD70458D11318815EF;;
D25196FB76BE5DF9BB39C99868DB0C9B;;
6E459D2047B2E3D3DA047884AC09EFED;;
3AC2D850C6A1DFE8FB70456C38B586B7;;
2677DC66C689A320E87F8F1248FEB8B1;;
A2D055B9632D828D5C934708E7C7CA6E;;
B27343B7B8FA1D75507DA5F91D427611;;
91C737F51859163807DBC96965746083;;
575EBA3A86D118E011C4133605136A50;;
093A08EDE18A0B5ACDC3B5DB56F44650;;
1F9F87CA8CEA10897EF8B212839E6881;;
ED1EC9402F6D46B06D1F1D981F12064F;;
541267D16A4037FBE1800126C208F48F;;
46699BA90C9819EA2C53C17E6F4CBCD2;;
346137AF59153913ACF9C9CC6B54E3AC;;
41E7CDC7D089AFF534E79712757C2A75;;
44AED746165C46F1864C8C478CFD5658;;
75ACBA8F88CE0A8B60783F17DAFEA26F;;
B1FB23BEBFF686F8C285C9B8890019BF;;
EDB8656BDBC0BF5DD43F0ABA3A50F982;;
1657F1F40CE9A36DA050EAA5FD746876;;
BAF22F3A7D947EDA85ED6D630E56B890;;
4140E7E5A29154D0D92AC617D1D0E394;;
D43CF2B0CEF31C906B73123E56FE92E2;;
72ED24EB2BDC9802C7273C00F45F5614;;
D9B60EE57E267EEF4816B633E9E604AA;;
CA4C903094FE233BFF27F6AE0C02E942;;
93C6BE76692229EE3E65023BBBAA7ECC;;
95677F144A6D1D9C5BF1120DD3F3FCD6;;
C589840A65DD1EEDF6B65AA61C71E148;;
2FC35340509DA15755BA4E9CE0871FA1;;
58C14DDB33A8627A37416F470F7AC241;;
9789DE0962362AC0413C922C04BF4DCA;;
D3F6ECEB2263837C2527264E5DA53859;;LP
